iter	Passed	Remaining
468	699	791
469	700	789
470	701	787
471	702	785
472	702	783
473	703	781
474	704	779
475	705	777
476	706	775
477	707	772
478	708	770
479	709	768
480	710	766
481	711	764
482	712	762
483	713	760
484	714	758
485	715	756
486	716	754
487	717	752
488	718	750
489	719	748
490	720	746
491	721	744
492	722	742
493	723	740
494	724	738
495	725	736
496	726	735
497	727	733
498	728	731
499	729	729
500	729	727
501	730	725
502	731	723
503	732	721
504	733	719
505	734	717
506	735	715
507	736	713
508	737	711
509	739	710
510	740	708
511	741	706
512	742	704
513	743	702
514	744	700
515	745	698
516	746	697
517	747	695
518	747	693
519	748	691
520	749	689
521	750	687
522	751	685
523	752	683
524	753	681
525	754	680
526	755	678
527	756	676
528	757	674
529	758	672
530	759	670
531	760	669
532	761	667
533	762	665
534	763	663
535	764	661
536	765	659
537	766	658
538	767	656
539	768	654
540	769	652
541	770	650
542	771	648
543	772	647
544	773	645
545	773	643
546	774	641
547	775	639
548	776	638
549	777	636
550	779	634
551	779	633
552	780	631
553	781	629
554	782	627
555	783	625
556	784	624
557	785	622
558	786	620
559	787	618
560	788	617
561	789	615
562	790	613
563	791	611
564	792	610
565	793	608
566	794	606
567	795	604
568	796	603
569	797	601
570	798	599
571	798	597
572	799	596
573	800	594
574	801	592
575	802	590
576	803	589
577	804	587
578	805	585
579	806	584
580	807	582
581	808	580
582	809	579
583	810	577
584	811	575
585	812	574
586	813	572
587	814	570
588	815	569
589	816	567
590	817	565
591	818	564
592	819	562
593	820	560
594	821	559
595	822	557
596	823	555
597	824	554
598	825	552
599	826	550
600	827	549
601	828	547
602	829	546
603	830	544
604	831	542
605	832	541
606	833	539
607	834	537
608	835	536
609	835	534
610	836	532
611	837	531
612	838	529
613	839	527
614	840	526
615	841	524
616	842	523
617	843	521
618	844	519
619	845	518
620	846	516
621	847	514
622	848	513
623	849	511
624	850	510
625	851	508
626	852	506
627	853	505
628	854	503
629	855	502
630	855	500
631	856	498
632	857	497
633	858	495
634	859	494
635	860	492
636	861	490
637	862	489
638	863	487
639	864	486
640	865	484
641	866	483
642	867	481
643	868	479
644	869	478
645	870	476
646	871	475
647	872	473
648	873	472
649	874	470
650	875	469
651	876	467
652	877	466
653	878	464
654	879	463
655	880	461
656	881	459
657	881	458
658	882	456
659	883	455
660	884	453
661	885	452
662	886	450
663	887	449
664	888	447
665	889	446
666	890	444
667	891	443
668	892	441
669	893	440
670	894	438
671	895	437
672	896	435
673	897	434
674	898	432
675	899	431
676	900	429
677	901	428
678	902	426
679	903	425
680	904	423
681	905	422
682	906	420
683	907	419
684	908	417
685	909	416
686	909	414
687	910	413
688	911	411
689	912	410
690	913	408
691	914	407
692	915	405
693	916	404
694	917	402
695	918	401
696	919	399
697	920	398
698	921	396
699	922	395
700	923	393
701	924	392
702	925	390
703	926	389
704	927	388
705	927	386
706	928	384
707	929	383
708	930	382
709	931	380
710	932	379
711	933	377
712	934	376
713	935	374
714	936	373
715	937	371
716	938	370
717	939	368
718	940	367
719	941	366
720	942	364
721	943	363
722	944	361
723	945	360
724	946	359
725	947	357
726	948	356
727	949	354
728	950	353
729	951	351
730	952	350
731	953	348
732	954	347
733	955	346
734	956	344
735	957	343
736	958	341
737	959	340
738	960	339
739	960	337
740	961	336
741	962	334
742	964	333
743	965	332
744	966	330
745	967	329
746	968	327
747	969	326
748	970	325
749	971	323
750	972	322
751	973	320
752	974	319
753	975	318
754	975	316
755	976	315
756	977	313
757	978	312
758	979	311
759	980	309
760	981	308
761	982	306
762	983	305
763	984	304
764	985	302
765	986	301
766	987	299
767	988	298
768	989	297
769	990	295
770	991	294
771	992	293
772	993	291
773	994	290
774	995	288
775	996	287
776	997	286
777	997	284
778	998	283
779	999	282
780	1000	280
781	1001	279
782	1002	277
783	1003	276
784	1004	275
785	1005	273
786	1006	272
787	1007	271
788	1008	269
789	1009	268
790	1010	267
791	1011	265
792	1012	264
793	1013	262
794	1014	261
795	1015	260
796	1016	258
797	1017	257
798	1018	256
799	1019	254
800	1020	253
801	1021	252
802	1022	250
803	1023	249
804	1024	248
